V3C99_003768	Hcon5G00000006725.2
V3C99_003769	Hcon5G00000006726.1
V3C99_003770	Hcon5G00000006727.2
V3C99_003783	Hcon5G00000006740.4
V3C99_003786	Hcon5G00000006743.1
V3C99_003787	Hcon5G00000006744.1
V3C99_003788	Hcon5G00000006745.2
V3C99_003791	Hcon5G00000006748.2
V3C99_003792	Hcon5G00000006749.2
V3C99_003792	Hcon5G00000006749.1
V3C99_003793	Hcon5G00000006750.1
V3C99_003794	Hcon5G00000006751.1
V3C99_003798	Hcon5G00000006755.3
V3C99_003798	Hcon5G00000006755.2
V3C99_003798	Hcon5G00000006755.1
V3C99_003799	Hcon5G00000006756.1
V3C99_003799	Hcon5G00000006756.2
V3C99_003799	Hcon5G00000006756.3
V3C99_003813	Hcon5G00000006770.1
V3C99_003813	Hcon5G00000006770.2
V3C99_003814	Hcon5G00000006771.1
V3C99_003815	Hcon5G00000006772.2
V3C99_003824	Hcon5G00000006781.1
V3C99_003825	Hcon5G00000006782.1
V3C99_003833	Hcon5G00000006790.2
V3C99_003833	Hcon5G00000006790.3
V3C99_003834	Hcon5G00000006791.2
V3C99_003834	Hcon5G00000006791.3
V3C99_003834	Hcon5G00000006791.1
V3C99_003841	Hcon5G00000006798.2
V3C99_003842	Hcon5G00000006799.2
V3C99_003842	Hcon5G00000006799.1
V3C99_003846	Hcon5G00000006803.1
V3C99_003847	Hcon5G00000006804.3
V3C99_003848	Hcon5G00000006805.1
V3C99_003848	Hcon5G00000006805.3
V3C99_003848	Hcon5G00000006805.2
V3C99_003849	Hcon5G00000006806.3
V3C99_003850	Hcon5G00000006807.1
V3C99_003850	Hcon5G00000006807.3
V3C99_003850	Hcon5G00000006807.2
V3C99_003851	Hcon5G00000006808.2
V3C99_003851	Hcon5G00000006808.1
V3C99_003854	Hcon5G00000006811.2
V3C99_003854	Hcon5G00000006811.1
V3C99_003857	Hcon5G00000006814.2
V3C99_003857	Hcon5G00000006814.1
V3C99_003857	Hcon5G00000006814.3
V3C99_003857	Hcon5G00000006814.4
V3C99_003862	Hcon5G00000006819.1
V3C99_003862	Hcon5G00000006819.2
V3C99_003864	Hcon5G00000006821.1
V3C99_003864	Hcon5G00000006821.2
V3C99_003865	Hcon5G00000006822.1
V3C99_003865	Hcon5G00000006822.2
V3C99_003876	Hcon5G00000006833.1
V3C99_003878	Hcon5G00000006835.1
V3C99_003878	Hcon5G00000006835.2
V3C99_003880	Hcon5G00000006837.1
V3C99_003881	Hcon5G00000006838.1
V3C99_003883	Hcon5G00000006840.2
V3C99_003883	Hcon5G00000006840.1
V3C99_003887	Hcon5G00000006844.1
V3C99_003890	Hcon5G00000006847.3
V3C99_003895	Hcon5G00000006852.1
V3C99_003897	Hcon5G00000006854.2
V3C99_003901	Hcon5G00000006858.1
V3C99_003903	Hcon5G00000006860.1
V3C99_003905	Hcon5G00000006862.1
V3C99_003908	Hcon5G00000006865.1
V3C99_003909	Hcon5G00000006866.1
V3C99_003912	Hcon5G00000006869.5
V3C99_003913	Hcon5G00000006870.2
V3C99_003918	Hcon5G00000006875.1
V3C99_003918	Hcon5G00000006875.2
V3C99_003919	Hcon5G00000006876.2
V3C99_003919	Hcon5G00000006876.1
V3C99_003922	Hcon5G00000006879.2
V3C99_003922	Hcon5G00000006879.1
V3C99_003927	Hcon5G00000006884.1
V3C99_003932	Hcon5G00000006889.4
V3C99_003932	Hcon5G00000006889.3
V3C99_003935	Hcon5G00000006892.1
V3C99_003941	Hcon5G00000006898.1
V3C99_003942	Hcon5G00000006899.1
V3C99_003942	Hcon5G00000006899.2
V3C99_003955	Hcon5G00000006912.2
V3C99_003956	Hcon5G00000006913.2
V3C99_003956	Hcon5G00000006913.1
V3C99_003958	Hcon5G00000006915.1
V3C99_003958	Hcon5G00000006915.3
V3C99_003958	Hcon5G00000006915.2
V3C99_003958	Hcon5G00000006915.4
V3C99_003959	Hcon5G00000006916.3
V3C99_003961	Hcon5G00000006918.2
V3C99_003961	Hcon5G00000006918.1
V3C99_003962	Hcon5G00000006919.1
V3C99_003962	Hcon5G00000006919.2
V3C99_003963	Hcon5G00000006920.2
